Act Title,PDF URL
Accountants Act 2004,https://sso.agc.gov.sg/Act/AA2004?ViewType=Pdf&_=20250102161905
Accounting and Corporate Regulatory Authority Act 2004,https://sso.agc.gov.sg/Act/ACRAA2004?ViewType=Pdf&_=20250521025249
Accounting Standards Act 2007,https://sso.agc.gov.sg/Act/ASA2007?ViewType=Pdf&_=20250509142823
Active Mobility Act 2017,https://sso.agc.gov.sg/Act/AMA2017?ViewType=Pdf&_=20241129120902
Administration of Justice (Protection) Act 2016,https://sso.agc.gov.sg/Act/AJPA2016?ViewType=Pdf&_=20250320032915
Administration of Muslim Law Act 1966,https://sso.agc.gov.sg/Act/AMLA1966?ViewType=Pdf&_=20250519183704
Adoption of Children Act 2022,https://sso.agc.gov.sg/Act/ACA2022?ViewType=Pdf&_=20250509142536
Advance Medical Directive Act 1996,https://sso.agc.gov.sg/Act/AMDA1996?ViewType=Pdf&_=20241205145424
"Agency for Science, Technology and Research Act 1990",https://sso.agc.gov.sg/Act/ASTRA1990?ViewType=Pdf&_=20240110030907
Air Navigation Act 1966,https://sso.agc.gov.sg/Act/ANA1966?ViewType=Pdf&_=20241129222842
Allied Health Professions Act 2011,https://sso.agc.gov.sg/Act/AHPA2011?ViewType=Pdf&_=20250117024407
Amusement Rides Safety Act 2011,https://sso.agc.gov.sg/Act/ARSA2011?ViewType=Pdf&_=20240725012130
Animals and Birds Act 1965,https://sso.agc.gov.sg/Act/ABA1965?ViewType=Pdf&_=20241227010040
Apostille Act 2020,https://sso.agc.gov.sg/Act/AA2020?ViewType=Pdf&_=20250509132901
Application of English Law Act 1993,https://sso.agc.gov.sg/Act/AELA1993?ViewType=Pdf&_=20240118024833
Apportionment Act 1928,https://sso.agc.gov.sg/Act/AA1928?ViewType=Pdf&_=20230623214335
Apportionment of Rents Act 1909,https://sso.agc.gov.sg/Act/ARA1909?ViewType=Pdf&_=20240213201118
Appraisers Act 1906,https://sso.agc.gov.sg/Act/AA1906?ViewType=Pdf&_=20240203013120
Arbitration (International Investment Disputes) Act 1968,https://sso.agc.gov.sg/Act/AIIDA1968?ViewType=Pdf&_=20250108015424
Arbitration Act 2001,https://sso.agc.gov.sg/Act/AA2001?ViewType=Pdf&_=20250403160141
Architects Act 1991,https://sso.agc.gov.sg/Act/AA1991?ViewType=Pdf&_=20250113110147
Arms and Explosives Act 1913,https://sso.agc.gov.sg/Act/AEA1913?ViewType=Pdf&_=20250403160141
Arms Offences Act 1973,https://sso.agc.gov.sg/Act/AOA1973?ViewType=Pdf&_=20250403160141
Asian Development Bank Act 1966,https://sso.agc.gov.sg/Act/ADBA1966?ViewType=Pdf&_=20241004121436
Asian Infrastructure Investment Bank Act 2015,https://sso.agc.gov.sg/Act/AIIBA2015?ViewType=Pdf&_=20240321165208
Attorney-General (Additional Functions) Act 2014,https://sso.agc.gov.sg/Act/AGAFA2014?ViewType=Pdf&_=20250509142823
Audit Act 1966,https://sso.agc.gov.sg/Act/AA1966?ViewType=Pdf&_=20240228144252
